City_ID,city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,24.75,41,0,0.58,AU,1704341027
1,rehoboth,-23.3167,17.0833,20.0,60,77,2.94,,1704341027
2,port lincoln,-34.7333,135.8667,21.5,73,69,4.44,AU,1704340887
9,port-aux-francais,-49.35,70.2167,4.6,68,60,13.95,TF,1704341028
11,puerto ayora,-0.7393,-90.3518,24.75,95,60,3.12,EC,1704341028
13,pariaman,-0.619,100.12,30.03,71,99,0.66,ID,1704341029
14,invercargill,-46.4,168.35,16.27,76,100,5.37,NZ,1704341029
15,adamstown,-25.066,-130.1015,24.15,82,88,3.07,PN,1704341029
16,kilimatinde,-5.85,34.95,19.17,92,100,1.98,TZ,1704341029
17,punta arenas,-53.15,-70.9167,11.06,82,75,6.69,CL,1704340812
18,grytviken,-54.2811,-36.5092,4.24,84,100,1.8,GS,1704340762
19,luderitz,-26.6481,15.1594,17.81,96,40,1.95,,1704341030
20,conceicao do araguaia,-8.2578,-49.2647,23.82,94,100,1.69,BR,1704341030
22,kerikeri,-35.2268,173.9474,19.61,74,96,2.05,NZ,1704341030
23,ushuaia,-54.8,-68.3,10.81,76,40,3.09,AR,1704341012
24,necochea,-38.5473,-58.7368,16.5,82,32,5.17,AR,1704341031
27,lorengau,-2.0226,147.2712,29.73,70,76,1.96,PG,1704341031
32,waitangi,-43.9535,-176.5597,15.46,86,37,7.57,NZ,1704341032
35,blackmans bay,-43.0167,147.3167,17.07,70,38,0.89,AU,1704341032
36,hacienda huancane,-15.8222,-70.8856,2.81,95,100,0.18,PE,1704341033
37,flying fish cove,-10.4217,105.6791,28.82,74,100,3.6,CX,1704341033
39,paciran,-6.8767,112.3761,27.97,75,100,2.27,ID,1704341033
41,bredasdorp,-34.5322,20.0403,19.02,88,97,6.44,ZA,1704341034
47,edinburgh of the seven seas,-37.0676,-12.3116,16.61,85,100,6.05,SH,1704341035
50,carnarvon,-24.8667,113.6333,32.32,43,0,1.73,AU,1704341035
52,amarante do maranhao,-5.5667,-46.7422,22.7,95,98,1.2,BR,1704340895
53,iguatu,-6.3594,-39.2986,24.27,83,96,1.93,BR,1704340883
54,antonio enes,-16.2325,39.9086,25.42,87,100,3.94,MZ,1704341036
57,hermanus,-34.4187,19.2345,19.94,82,96,7.6,ZA,1704341036
59,avarua,-21.2078,-159.775,27.03,83,40,6.17,CK,1704341036
60,mount isa,-20.7333,139.5,34.87,38,82,4.12,AU,1704340881
61,puerto natales,-51.7236,-72.4875,10.56,96,100,1.89,CL,1704340936
67,garachico,-14.7833,24.8,17.94,97,34,1.63,ZM,1704341038
70,dudinka,-46.5619,169.4708,17.26,64,100,4.41,NZ,1704341038
72,nar'yan-mar,-7.2312,12.8666,23.24,86,93,1.73,AO,1704341039
74,kingston,-0.6,73.0833,28.04,73,85,1.11,MV,1704341039
78,chibougamau,-4.5617,-37.7697,26.88,80,21,4.22,BR,1704341039
80,yangor,-19.6833,63.4167,27.97,80,91,4.98,MU,1704341040
82,port mathurin,-19.0595,-169.9187,28.94,74,75,5.66,NU,1704341040
88,panjab,-17.0,145.4333,34.69,49,62,2.8,AU,1704341042
91,mareeba,-8.5421,-172.5159,28.82,74,100,4.62,TK,1704341045
93,kill devil hills,-17.941,-65.3402,17.83,86,100,1.26,BO,1704341048
94,atafu village,-14.97,22.6814,19.15,94,91,1.66,ZM,1704341048
95,qaqortoq,-25.4,-70.4833,17.63,85,30,0.45,CL,1704340820
97,kalabo,-12.1568,96.8225,29.99,70,40,6.17,CC,1704341049
98,taltal,-11.7833,19.9167,19.1,94,100,0.51,AO,1704341049
101,luena,-20.2833,44.2833,27.1,82,47,4.27,MG,1704341049
108,ghadamis,-33.5906,26.891,17.32,99,100,0.45,ZA,1704341051
110,hilo,-20.2819,-45.5394,20.05,98,100,1.54,BR,1704341051
111,port alfred,-38.2667,141.9667,19.18,62,53,7.56,AU,1704341052
113,arcos,-32.1667,152.5167,28.49,72,100,4.19,AU,1704341052
122,saynshand,-23.7,133.8833,34.75,23,44,2.57,AU,1704341054
128,itoman,-42.7826,147.0587,17.72,39,12,2.85,AU,1704341055
136,yellowknife,-16.7333,-151.4333,26.55,81,100,3.82,PF,1704341058
137,mount pearl,-5.1989,-35.4608,27.51,77,5,6.04,BR,1704341058
138,veymandoo,-6.4333,39.55,26.92,80,81,5.43,TZ,1704341058
147,chengde,-41.1456,-71.3082,14.86,58,0,5.66,AR,1704341060
149,tiksi,-9.0763,143.2092,28.67,78,97,3.16,PG,1704341061
151,jiuquan,-20.5167,57.5167,28.21,83,75,6.69,MU,1704341061
153,ocean shores,-28.7667,114.6,33.23,22,0,9.26,AU,1704340796
155,yelizovo,-35.3333,-72.4167,15.38,74,91,2.45,CL,1704341062
160,constitucion,-15.8631,-38.8828,24.78,95,100,2.09,BR,1704340971
164,saint sampson,-21.3585,55.7679,29.77,79,100,1.06,RE,1704341064
170,saint-philippe,-25.23,-50.6044,17.19,98,75,1.7,BR,1704341066
172,zheleznodorozhnyy,-2.8856,-40.12,26.41,84,91,4.1,BR,1704340867
173,bela,-33.6971,-53.4616,19.83,81,2,5.58,UY,1704341066
174,kem',-25.0319,46.9987,23.04,100,75,0.0,MG,1704341067
179,chui,-21.55,167.8833,27.45,65,84,5.13,NC,1704341068
180,tolanaro,-42.6128,-73.8092,13.56,86,72,0.8,CL,1704341068
181,santa marta,-34.8957,-60.0167,18.58,71,35,3.2,AR,1704341068
182,happy valley-goose bay,-4.5772,-81.2719,22.1,89,100,5.21,PE,1704341068
186,chonchi,-41.606,-65.3557,20.98,62,100,9.18,AR,1704341069
190,whitehorse,-5.6667,132.75,27.62,77,100,2.69,ID,1704341070
195,saudarkrokur,-37.8333,140.7667,20.81,55,100,6.13,AU,1704341071
198,tahe,-8.8368,13.2343,26.0,79,75,2.06,AO,1704341072
199,aasiaat,-31.6683,18.5012,20.15,64,92,1.11,ZA,1704341072
201,mount gambier,-22.092,-70.1979,18.46,80,24,0.26,CL,1704341015
209,remire-montjoly,-22.45,18.9667,19.43,69,89,2.57,,1704341074
210,amungan,-8.7676,160.7034,28.87,72,67,2.46,SB,1704341074
213,maryville,-4.6167,55.4167,25.91,83,75,6.17,SC,1704341075
215,gorzyce,-29.9533,-71.3436,16.85,88,20,2.57,CL,1704341075
223,severo-yeniseyskiy,-15.2119,-75.1103,19.56,79,100,0.91,PE,1704341077
225,gualan,-21.2418,55.3394,28.05,66,100,2.06,RE,1704341077
226,camuy,-10.2621,29.9271,17.3,96,100,2.09,ZM,1704341077
228,borogontsy,-32.035,-52.0986,22.19,76,1,8.11,BR,1704340436
229,jaisalmer,-43.5333,172.6333,25.85,62,98,7.72,NZ,1704340749
232,les avirons,-12.0667,-77.15,23.73,73,0,6.17,PE,1704341078
234,hamilton,-31.95,141.4333,29.53,43,100,5.19,AU,1704341079
